"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
11,2001.5,55.86,-98.48,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
12,2001.5,55.92,-98.39,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
13,2001.5,55.91,-98.51,"55.75 -98.75",-2.8,-0.483333333333333,-2.8,-4.24166666666667,-3.725,-3.06666666666667,-3.23333333333333,-3.075,-3.03333333333333,-3.19166666666667,-4.125,-2.88333333333333,-0.991666666666667,-0.966666666666667,-1.91666666666667,-0.433333333333333,-2.79166666666667,-1.48333333333333,-3.56666666666667,-1.24166666666667,-0.133333333333333,-2.28333333333333,-3.68333333333333,-3.1,-0.225,-1.89166666666667,-1.68333333333333,-3.59166666666667,-4.075,-1.7,-1.14166666666667,-2.25833333333333,"55.75 -98.75"
14,2001.5,55.88,-98.48,"55.75 -98.25",-2.91666666666667,-0.475,-2.73333333333333,-4.2,-3.75833333333333,-3.20833333333333,-3.40833333333333,-3.20833333333333,-3.1,-3.25833333333333,-4.14166666666667,-2.975,-0.983333333333334,-0.983333333333333,-2.325,-0.783333333333333,-3.19166666666667,-1.9,-3.91666666666667,-1.54166666666667,-0.475,-2.70833333333333,-3.63333333333333,-3.01666666666667,-0.116666666666667,-1.86666666666667,-1.63333333333333,-3.56666666666667,-4.08333333333333,-1.68333333333333,-1.1,-2.26666666666667,"55.75 -98.25"
46,1997.5,50.13,11.87,"50.25 11.75",6.175,5.44166666666667,7.11666666666667,7.60833333333333,7.50833333333333,6.56666666666667,7.50833333333333,6.85,8.16666666666667,7.03333333333333,5.40833333333333,7.16666666666667,7.36666666666667,7.625,8.33333333333333,7.25833333333333,7.74166666666667,7.625,7.04166666666667,7.13333333333333,7.61666666666667,7.91666666666667,7.60833333333333,7.225,5.73333333333333,7.76666666666667,7.2,6.79166666666667,8.60833333333333,8.675,8.28333333333333,8.34166666666667,"50.25 11.75"
47,1997.5,50.13,11.87,"50.25 11.75",6.175,5.44166666666667,7.11666666666667,7.60833333333333,7.50833333333333,6.56666666666667,7.50833333333333,6.85,8.16666666666667,7.03333333333333,5.40833333333333,7.16666666666667,7.36666666666667,7.625,8.33333333333333,7.25833333333333,7.74166666666667,7.625,7.04166666666667,7.13333333333333,7.61666666666667,7.91666666666667,7.60833333333333,7.225,5.73333333333333,7.76666666666667,7.2,6.79166666666667,8.60833333333333,8.675,8.28333333333333,8.34166666666667,"50.25 11.75"
48,1997.5,50.13,11.87,"50.25 11.75",6.175,5.44166666666667,7.11666666666667,7.60833333333333,7.50833333333333,6.56666666666667,7.50833333333333,6.85,8.16666666666667,7.03333333333333,5.40833333333333,7.16666666666667,7.36666666666667,7.625,8.33333333333333,7.25833333333333,7.74166666666667,7.625,7.04166666666667,7.13333333333333,7.61666666666667,7.91666666666667,7.60833333333333,7.225,5.73333333333333,7.76666666666667,7.2,6.79166666666667,8.60833333333333,8.675,8.28333333333333,8.34166666666667,"50.25 11.75"
65,1995,42.87,172.75,"-42.75 172.75",11.6166666666667,11.825,11.8416666666667,12.0166666666667,11.9666666666667,11.125,10.425,10.6,10.7333333333333,11.3,11.25,10.9916666666667,12.1083333333333,11.95,11.5083333333333,11.5166666666667,11.3916666666667,11.3166666666667,10.9916666666667,11.675,11.075,11.4,11.5083333333333,10.9833333333333,11.7416666666667,11.4916666666667,11.2083333333333,12.0166666666667,11.4583333333333,11.5333333333333,12.15,11.8416666666667,"-42.75 172.75"
69,2001,64.8,-147.87,"64.75 -147.75",-1.60833333333333,-0.583333333333333,-1.10833333333333,-2.28333333333333,-2.66666666666667,-1.51666666666667,-3.21666666666667,0.0833333333333333,-2.13333333333333,-1.65833333333333,-3.81666666666667,-1.68333333333333,-1.48333333333333,-4.25,-1.6,-1.39166666666667,-0.541666666666667,-1.41666666666667,-1.15833333333333,-1.10833333333333,-2.95,-1.94166666666667,-3.43333333333333,-2.24166666666667,-1.40833333333333,-2.11666666666667,-4,-2.4,-1.00833333333333,-1.05833333333333,-0.133333333333333,-1.25833333333333,"64.75 -147.75"
70,2001,64.8,-147.87,"64.75 -147.75",-1.60833333333333,-0.583333333333333,-1.10833333333333,-2.28333333333333,-2.66666666666667,-1.51666666666667,-3.21666666666667,0.0833333333333333,-2.13333333333333,-1.65833333333333,-3.81666666666667,-1.68333333333333,-1.48333333333333,-4.25,-1.6,-1.39166666666667,-0.541666666666667,-1.41666666666667,-1.15833333333333,-1.10833333333333,-2.95,-1.94166666666667,-3.43333333333333,-2.24166666666667,-1.40833333333333,-2.11666666666667,-4,-2.4,-1.00833333333333,-1.05833333333333,-0.133333333333333,-1.25833333333333,"64.75 -147.75"
